Описание;Цена;Рейтинг;Ссылка
Смартфон Samsung Galaxy A35 5G 8/128Gb,  SM-A356E,  лаванда;27990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-128gb-8gb-lavanda-3g-4g-6-6-10-2019261/
Смартфон Huawei Pura 70 Pro 12/512Gb,  HBN-LX9,  белый;76990₽;4.8;https://www.citilink.ru/product/smartfon-huawei-pura70-pro-ady-lx9-512gb-12gb-belyi-3g-4g-6-67-1080x24-2021540/
Смартфон TECNO Camon 30 Pro 5G 12/256Gb,  черный;34990₽;5;https://www.citilink.ru/product/smartfon-tecno-camon-30-pro-5g-256gb-12gb-chernyi-3g-4g-6-78-1080x2436-2028295/
Смартфон Apple iPhone 13 128Gb,  A2482,  альпийский зеленый;63690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2482-alpiiskii-zelenyi-1863697/
Смартфон Xiaomi Poco X6 5G 8/256Gb,  белый;24990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-8-256gb-belyi-2001145/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  серый;82990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-seryi-2000112/
Смартфон REALME C61 8/128Gb,  RMX3930,  золотой;11990₽;5;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-128gb-8gb-zolotistyi-3g-4g-2sim-6-75-ips-7-2047019/
Смартфон REALME 12 Pro+ 5G 12/512Gb,  RMX3840,  синее море;51990₽;4.7;https://www.citilink.ru/product/smartfon-realme-12-pro-5g-rmx3840-512gb-12gb-sinii-3g-4g-6-7-2400x1080-2012968/
Смартфон TECNO Spark 30C 4/128Gb,  черный;10490₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-30c-128gb-4gb-chernyi-3g-4g-6-56-720x1612-and13-5-2058868/
Смартфон Xiaomi Poco X6 5G 8/256Gb,  синий;24990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-8-256gb-sinii-2001146/
Смартфон Samsung Galaxy A25 6/128Gb,  SM-A256E,  темно-синий;21590₽;4.7;https://www.citilink.ru/product/smartfon-samsung-galaxy-a25-6-128gb-sm-a256e-temno-sinii-1999541/
Смартфон Samsung Galaxy A25 8/256Gb,  SM-A256E,  голубой;25990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a25-8-256gb-sm-a256e-goluboi-1999539/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  фиолетовый;82990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-fioletovyi-2000111/
Смартфон Honor X8b 8/256Gb,  полночный черный;22990₽;5;https://www.citilink.ru/product/smartfon-honor-x8b-8-256gb-polnochnyi-chernyi-1998149/
Смартфон REALME C67 8/256 Gb,  RMX3890,  зеленый;19990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c67-8-256-gb-rmx3890-zelenyi-2003619/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  голубой;31990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-goluboi-3g-4g-6-6-10-2011540/
Смартфон Samsung Galaxy S24 Ultra 12/512Gb,  фиолетовый титан;129990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-ultra-5g-12-512gb-sm-s928b-fioletovyi-tita-2000230/
Смартфон Samsung Galaxy A05s 4/64Gb,  SM-A057F,  серебристый;10490₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05s-4-64gb-sm-a057f-serebristyi-1985074/
Смартфон Xiaomi Poco M6 6/128Gb,  фиолетовый;14490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-128gb-6gb-fioletovyi-3g-4g-2sim-6-79-ips-1080x-2027559/
Смартфон Xiaomi Poco F6 Pro 12/512Gb,  белый;57990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-pro-512gb-12gb-belyi-3g-4g-2sim-6-67-amoled-14-2027552/
Смартфон Xiaomi Poco F6 Pro 12/256Gb,  черный;49990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-pro-256gb-12gb-chernyi-3g-4g-2sim-6-67-amoled-2027551/
Смартфон INFINIX Hot 40 8/256Gb,  X6836,  золотой;16990₽;5;https://www.citilink.ru/product/smartfon-infinix-hot-40-8-256gb-x6836-zolotoi-1993927/
Смартфон Honor 90 8/256Gb,  полуночный черный;32540₽;4.9;https://www.citilink.ru/product/smartfon-honor-90-8-256gb-polunochnyi-chernyi-1977235/
Смартфон TECNO Spark 20 Pro 8/256Gb,  слоновая кость;16990₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-20-pro-8-256gb-slonovaya-kost-2006348/
Смартфон Samsung Galaxy A06 4/64Gb,  SM-A065F,  черный;10990₽;;https://www.citilink.ru/product/smartfon-samsung-galaxy-a06-sm-a065f-64gb-4gb-chernyi-3g-4g-6-7-720x16-2055461/
Смартфон Samsung Galaxy S23 8/128Gb,  SM-S911B,  черный фантом;66190₽;4.5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s23-5g-8-128gb-sm-s911b-chernyi-fantom-1899052/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  темно-синий;31990₽;;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-temno-sinii-3g-4g-6-2019262/
Смартфон INOI A72 4/128Gb,  фиолетовый;7890₽;5;https://www.citilink.ru/product/smartfon-inoi-a72-128gb-fioletovyi-3g-4g-6-51-and11-802-11-n-nfc-gps-1968737/
Смартфон TECNO Spark Go 1 3/64Gb,  белый;7490₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-go-64gb-3gb-belyi-3g-4g-6-5-720x1600-and14-13mpix-2056030/
Смартфон Huawei nova Y61 4/128Gb,  EVE-LX9N,  черный;13990₽;5;https://www.citilink.ru/product/smartfon-huawei-nova-y61-4-128gb-eve-lx9n-chernyi-2011645/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  голубой;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-goluboi-3g-4g-6-6-10-2011553/
Смартфон INFINIX Note 30 8/256Gb,  X6833B,  черный;21990₽;4.8;https://www.citilink.ru/product/smartfon-infinix-note-30-8-256gb-x6833b-chernyi-1927929/
Смартфон INFINIX Note 30 8/256Gb,  X6833B,  голубой;21990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-8-256gb-x6833b-goluboi-1927931/
Смартфон INFINIX Note 30 8/128Gb,  X6833B,  черный;18990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-8-128gb-x6833b-chernyi-1926549/
Смартфон Honor Magic 6 Pro 12/512Gb,  графитовый;109990₽;5;https://www.citilink.ru/product/smartfon-honor-magic-6-pro-512gb-12gb-grafitovyi-chernyi-3g-4g-6-8-122-2013410/
Смартфон Xiaomi Redmi Note 12S 6/128Gb,  черный;25990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-12s-6-128gb-chernyi-1924733/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  желтый;82990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-zheltyi-2000110/
Смартфон Xiaomi Poco F5 12/256Gb,  черный;50990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-12-256gb-chernyi-1924742/
Смартфон Honor X9b 8/256Gb,  изумрудный зеленый;28990₽;4.9;https://www.citilink.ru/product/smartfon-honor-x9b-8-256gb-izumrudnyi-zelenyi-1998153/
Смартфон INFINIX Note 30 Pro 8/256Gb,  X678B,  черный;22990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-pro-8-256gb-x678b-chernyi-1927932/
Смартфон INFINIX Note 30i 8/256Gb,  X6716,  черный;18990₽;5;https://www.citilink.ru/product/smartfon-infinix-note-30i-8-256gb-x6716-chernyi-1926453/
Смартфон INFINIX Hot 30 8/128Gb,  X6831,  черный;16990₽;4.7;https://www.citilink.ru/product/smartfon-infinix-hot-30-8-128gb-x6831-chernyi-1914523/
Смартфон Apple iPhone 15 Pro 1Tb,  A3104,  черный титан;196690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-pro-1tb-a3104-chernyi-titan-1981759/
Смартфон Huawei P60 Pro 8/256Gb,  MNA-LX9,  жемчужина рококо;59990₽;5;https://www.citilink.ru/product/smartfon-huawei-p60-pro-8-256gb-mna-lx9-zhemchuzhina-rokoko-1970379/
Смартфон Honor X8b 8/128Gb,  зеленый;17990₽;5;https://www.citilink.ru/product/smartfon-honor-x8b-8-128gb-zelenyi-1998147/
Смартфон Samsung Galaxy A34 5G 6/128Gb,  SM-A346E,  графит;24990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a34-5g-6-128gb-sm-a346e-grafit-1911868/
Смартфон Samsung Galaxy A05 4/64Gb,  SM-A055F,  черный;8990₽;4.8;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05-sm-a055f-64gb-4gb-chernyi-3g-4g-6-7-and13-1985060/
Смартфон Apple iPhone 14 128Gb,  A2884,  сияющая звезда;74990₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-14-128gb-a2884-siyayuschaya-zvezda-1879972/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  лаванда;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-lavanda-3g-4g-6-6-10-2011555/
Смартфон Xiaomi Poco F5 12/256Gb,  синий;50990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-12-256gb-sinii-1924743/
Смартфон Honor Magic 6 Pro 12/512Gb,  зеленый;109990₽;5;https://www.citilink.ru/product/smartfon-honor-magic-6-pro-512gb-12gb-zelenyi-3g-4g-6-8-1224x2688-magi-2013417/
Смартфон TECNO Spark 20 8/128Gb,  черный;11990₽;4.6;https://www.citilink.ru/product/smartfon-tecno-spark-20-8-128gb-chernyi-1998577/
Смартфон Apple iPhone 11 128Gb,  A2221,  белый;59590₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-11-128gb-a2221-belyi-1928534/
Смартфон Xiaomi Poco F5 8/256Gb,  белый;44990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-8-256gb-belyi-1924741/
Смартфон INFINIX Hot 30 8/128Gb,  X6831,  зеленый;16990₽;4.6;https://www.citilink.ru/product/smartfon-infinix-hot-30-8-128gb-x6831-zelenyi-1914527/
Смартфон INFINIX Note 30i 8/128Gb,  X6716,  черный;17990₽;4.7;https://www.citilink.ru/product/smartfon-infinix-note-30i-8-128gb-x6716-chernyi-1931566/
Смартфон Samsung Galaxy A34 5G 6/128Gb,  SM-A346E,  серебристый;24990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a34-5g-6-128gb-sm-a346e-serebristyi-1911862/
Смартфон TECNO Spark 20 Pro+ 8/256Gb,  черный;20990₽;4.7;https://www.citilink.ru/product/smartfon-tecno-spark-20-pro-8-256gb-chernyi-2006341/
Смартфон Samsung Galaxy A25 6/128Gb,  SM-A256E,  темно-синий;21590₽;4.7;https://www.citilink.ru/product/smartfon-samsung-galaxy-a25-6-128gb-sm-a256e-temno-sinii-1999541/
Смартфон Samsung Galaxy A25 8/256Gb,  SM-A256E,  голубой;25990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a25-8-256gb-sm-a256e-goluboi-1999539/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  фиолетовый;82990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-fioletovyi-2000111/
Смартфон Honor X8b 8/256Gb,  полночный черный;22990₽;5;https://www.citilink.ru/product/smartfon-honor-x8b-8-256gb-polnochnyi-chernyi-1998149/
Смартфон REALME C67 8/256 Gb,  RMX3890,  зеленый;19990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c67-8-256-gb-rmx3890-zelenyi-2003619/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  голубой;31990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-goluboi-3g-4g-6-6-10-2011540/
Смартфон Samsung Galaxy S24 Ultra 12/512Gb,  фиолетовый титан;129990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-ultra-5g-12-512gb-sm-s928b-fioletovyi-tita-2000230/
Смартфон Samsung Galaxy A05s 4/64Gb,  SM-A057F,  серебристый;10490₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05s-4-64gb-sm-a057f-serebristyi-1985074/
Смартфон Xiaomi Poco M6 6/128Gb,  фиолетовый;14490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-128gb-6gb-fioletovyi-3g-4g-2sim-6-79-ips-1080x-2027559/
Смартфон Xiaomi Poco F6 Pro 12/512Gb,  белый;57990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-pro-512gb-12gb-belyi-3g-4g-2sim-6-67-amoled-14-2027552/
Смартфон Xiaomi Poco F6 Pro 12/256Gb,  черный;49990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-pro-256gb-12gb-chernyi-3g-4g-2sim-6-67-amoled-2027551/
Смартфон INFINIX Hot 40 8/256Gb,  X6836,  золотой;16990₽;5;https://www.citilink.ru/product/smartfon-infinix-hot-40-8-256gb-x6836-zolotoi-1993927/
Смартфон Honor 90 8/256Gb,  полуночный черный;32540₽;4.9;https://www.citilink.ru/product/smartfon-honor-90-8-256gb-polunochnyi-chernyi-1977235/
Смартфон TECNO Spark 20 Pro 8/256Gb,  слоновая кость;16990₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-20-pro-8-256gb-slonovaya-kost-2006348/
Смартфон Samsung Galaxy A06 4/64Gb,  SM-A065F,  черный;10990₽;;https://www.citilink.ru/product/smartfon-samsung-galaxy-a06-sm-a065f-64gb-4gb-chernyi-3g-4g-6-7-720x16-2055461/
Смартфон Samsung Galaxy S23 8/128Gb,  SM-S911B,  черный фантом;66190₽;4.5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s23-5g-8-128gb-sm-s911b-chernyi-fantom-1899052/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  темно-синий;31990₽;;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-temno-sinii-3g-4g-6-2019262/
Смартфон INOI A72 4/128Gb,  фиолетовый;7890₽;5;https://www.citilink.ru/product/smartfon-inoi-a72-128gb-fioletovyi-3g-4g-6-51-and11-802-11-n-nfc-gps-1968737/
Смартфон TECNO Spark Go 1 3/64Gb,  белый;7490₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-go-64gb-3gb-belyi-3g-4g-6-5-720x1600-and14-13mpix-2056030/
Смартфон Huawei nova Y61 4/128Gb,  EVE-LX9N,  черный;13990₽;5;https://www.citilink.ru/product/smartfon-huawei-nova-y61-4-128gb-eve-lx9n-chernyi-2011645/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  голубой;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-goluboi-3g-4g-6-6-10-2011553/
Смартфон INFINIX Note 30 8/256Gb,  X6833B,  черный;21990₽;4.8;https://www.citilink.ru/product/smartfon-infinix-note-30-8-256gb-x6833b-chernyi-1927929/
Смартфон INFINIX Note 30 8/256Gb,  X6833B,  голубой;21990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-8-256gb-x6833b-goluboi-1927931/
Смартфон INFINIX Note 30 8/128Gb,  X6833B,  черный;18990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-8-128gb-x6833b-chernyi-1926549/
Смартфон Honor Magic 6 Pro 12/512Gb,  графитовый;109990₽;5;https://www.citilink.ru/product/smartfon-honor-magic-6-pro-512gb-12gb-grafitovyi-chernyi-3g-4g-6-8-122-2013410/
Смартфон Xiaomi Redmi Note 12S 6/128Gb,  черный;25990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-12s-6-128gb-chernyi-1924733/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  желтый;82990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-zheltyi-2000110/
Смартфон Xiaomi Poco F5 12/256Gb,  черный;50990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-12-256gb-chernyi-1924742/
Смартфон Honor X9b 8/256Gb,  изумрудный зеленый;28990₽;4.9;https://www.citilink.ru/product/smartfon-honor-x9b-8-256gb-izumrudnyi-zelenyi-1998153/
Смартфон INFINIX Note 30 Pro 8/256Gb,  X678B,  черный;22990₽;4.9;https://www.citilink.ru/product/smartfon-infinix-note-30-pro-8-256gb-x678b-chernyi-1927932/
Смартфон INFINIX Note 30i 8/256Gb,  X6716,  черный;18990₽;5;https://www.citilink.ru/product/smartfon-infinix-note-30i-8-256gb-x6716-chernyi-1926453/
Смартфон INFINIX Hot 30 8/128Gb,  X6831,  черный;16990₽;4.7;https://www.citilink.ru/product/smartfon-infinix-hot-30-8-128gb-x6831-chernyi-1914523/
Смартфон Apple iPhone 15 Pro 1Tb,  A3104,  черный титан;196690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-pro-1tb-a3104-chernyi-titan-1981759/
Смартфон Huawei P60 Pro 8/256Gb,  MNA-LX9,  жемчужина рококо;59990₽;5;https://www.citilink.ru/product/smartfon-huawei-p60-pro-8-256gb-mna-lx9-zhemchuzhina-rokoko-1970379/
Смартфон Honor X8b 8/128Gb,  зеленый;17990₽;5;https://www.citilink.ru/product/smartfon-honor-x8b-8-128gb-zelenyi-1998147/
Смартфон Samsung Galaxy A34 5G 6/128Gb,  SM-A346E,  графит;24990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a34-5g-6-128gb-sm-a346e-grafit-1911868/
Смартфон Samsung Galaxy A05 4/64Gb,  SM-A055F,  черный;8990₽;4.8;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05-sm-a055f-64gb-4gb-chernyi-3g-4g-6-7-and13-1985060/
Смартфон Apple iPhone 14 128Gb,  A2884,  сияющая звезда;74990₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-14-128gb-a2884-siyayuschaya-zvezda-1879972/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  лаванда;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-lavanda-3g-4g-6-6-10-2011555/
Смартфон Xiaomi Poco F5 12/256Gb,  синий;50990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-12-256gb-sinii-1924743/
Смартфон Honor Magic 6 Pro 12/512Gb,  зеленый;109990₽;5;https://www.citilink.ru/product/smartfon-honor-magic-6-pro-512gb-12gb-zelenyi-3g-4g-6-8-1224x2688-magi-2013417/
Смартфон TECNO Spark 20 8/128Gb,  черный;11990₽;4.6;https://www.citilink.ru/product/smartfon-tecno-spark-20-8-128gb-chernyi-1998577/
Смартфон Apple iPhone 11 128Gb,  A2221,  белый;59590₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-11-128gb-a2221-belyi-1928534/
Смартфон Xiaomi Poco F5 8/256Gb,  белый;44990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f5-8-256gb-belyi-1924741/
Смартфон INFINIX Hot 30 8/128Gb,  X6831,  зеленый;16990₽;4.6;https://www.citilink.ru/product/smartfon-infinix-hot-30-8-128gb-x6831-zelenyi-1914527/
Смартфон INFINIX Note 30i 8/128Gb,  X6716,  черный;17990₽;4.7;https://www.citilink.ru/product/smartfon-infinix-note-30i-8-128gb-x6716-chernyi-1931566/
Смартфон Samsung Galaxy A34 5G 6/128Gb,  SM-A346E,  серебристый;24990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a34-5g-6-128gb-sm-a346e-serebristyi-1911862/
Смартфон TECNO Spark 20 Pro+ 8/256Gb,  черный;20990₽;4.7;https://www.citilink.ru/product/smartfon-tecno-spark-20-pro-8-256gb-chernyi-2006341/
Смартфон Xiaomi Poco X5 5G 6/128Gb,  голубой;28990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-poco-x5-5g-6-128gb-goluboi-1901558/
Смартфон Apple iPhone 13 128Gb,  A2633,  синий;63690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-sinii-2008117/
Смартфон Honor 200 8/256Gb,  полуночный черный;39990₽;5;https://www.citilink.ru/product/smartfon-honor-200-256gb-8gb-polun-cher-3g-4g-2sim-6-7-amoled-1200x120-2028607/
Смартфон OPPO A78 8/256Gb,  лазурный;19990₽;5;https://www.citilink.ru/product/smartfon-oppo-a78-8-256gb-lazurnyi-1987347/
Смартфон Motorola Razr 40 Ultra 8/256Gb,  XT2321-1,  черный;94990₽;4.8;https://www.citilink.ru/product/smartfon-motorola-razr-40-ultra-8-256gb-xt2321-1-chernyi-1969134/
Смартфон Huawei nova 11 8/256Gb,  FOA-LX9,  зеленый;31990₽;5;https://www.citilink.ru/product/smartfon-huawei-nova-11-8-256gb-foa-lx9-zelenyi-1941750/
Смартфон TECNO Spark 20 8/256Gb,  черный;13990₽;5;https://www.citilink.ru/product/smartfon-tecno-spark-20-8-256gb-chernyi-1998579/
Смартфон Apple iPhone 14 128Gb,  A2884,  фиолетовый;74990₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-14-128gb-a2884-fioletovyi-1877925/
Смартфон TECNO Pova 6 8/256Gb,  серый;19990₽;5;https://www.citilink.ru/product/smartfon-tecno-pova-6-256gb-8gb-seryi-3g-4g-6-8-1080x2436-and14-108mpi-2023453/
Смартфон INFINIX Note 30 8/256Gb,  X6833B,  золотистый;21990₽;4.8;https://www.citilink.ru/product/smartfon-infinix-note-30-8-256gb-x6833b-zolotistyi-1942668/
Смартфон Xiaomi Poco X5 Pro 5G 6/128Gb,  голубой;35990₽;4.6;https://www.citilink.ru/product/smartfon-xiaomi-poco-x5-pro-5g-6-128gb-goluboi-1901552/
Смартфон ASUS ROG Phone 8 12/256Gb,  AI2401_A,  черный;92990₽;5;https://www.citilink.ru/product/smartfon-asus-rog-phone-8-ai2401-a-256gb-12gb-chernyi-3g-4g-6-78-1080x-2015094/
Смартфон vivo V27e 8/128Gb,  черный оникс;18490₽;5;https://www.citilink.ru/product/smartfon-vivo-v27e-8-128gb-chernyi-oniks-1913373/
Смартфон Apple iPhone 16 Pro Max 512Gb,  A3297,  бежевый титан;210890₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-16-pro-max-512gb-a3297-bezhevyi-titan-2060123/
Смартфон INFINIX Note 40 Pro 12/256Gb,  X6850,  зеленый;27990₽;5;https://www.citilink.ru/product/smartfon-infinix-note-40-pro-x6850-256gb-12gb-zelenyi-3g-4g-2sim-6-78-2014113/
Смартфон Samsung Galaxy S24 8/128Gb,  SM-S921B,  желтый;74990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-128gb-sm-s921b-zheltyi-2000102/
Смартфон vivo Y36 8/128Gb,  черный;17990₽;4.9;https://www.citilink.ru/product/smartfon-vivo-y36-8-128gb-chernyi-1940092/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  голубой;34990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-goluboi-3g-4g-6-6-10-2011864/
Смартфон Xiaomi Redmi Note 12S 6/128Gb,  зеленый;25990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-12s-6-128gb-zelenyi-1924735/
Смартфон OPPO Reno11 F 8/256Gb,  CPH2603,  зеленый;29990₽;4.8;https://www.citilink.ru/product/smartfon-oppo-reno11-f-cph2603-256gb-8gb-zelenyi-3g-4g-6-7-1080x2412-a-2013482/
Смартфон Samsung Galaxy S23 8/128Gb,  SM-S911B,  черный фантом;66190₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-s23-5g-8-128gb-sm-s911b-chernyi-fantom-1996982/
Смартфон Honor 200 8/256Gb,  белый лунный;39990₽;5;https://www.citilink.ru/product/smartfon-honor-200-256gb-8gb-belyi-lunnyi-3g-4g-2sim-6-7-amoled-1200x1-2028609/
Смартфон Huawei nova 12i 8/256Gb,  CTR-L81,  зеленый;21990₽;5;https://www.citilink.ru/product/smartfon-huawei-nova-12ii-ctr-l81-256gb-8gb-zelenyi-3g-4g-6-8-1080x238-2015329/
Смартфон Samsung Galaxy Z Fold 6 12/256Gb,  SM-F956B,  синий;189990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-z-fold-6-5g-sm-f956b-256gb-12gb-sinii-3g-4g-7-2031406/
Смартфон REALME 12 8/512Gb,  RMX3871,  зеленый малахит;25990₽;4;https://www.citilink.ru/product/smartfon-realme-12-4g-rmx3871-512gb-8gb-zelenyi-3g-4g-2sim-6-67-amoled-2028076/
Смартфон Huawei Pura 70 Ultra 16/512Gb,  HBP-LX9,  черный;109990₽;;https://www.citilink.ru/product/smartfon-huawei-pura-70-ultra-hbp-lx9-512gb-16gb-chernyi-3g-4g-6-8-126-2025201/
Смартфон TECNO Camon 30 8/256Gb,  белый;19490₽;5;https://www.citilink.ru/product/smartfon-tecno-camon-30-256gb-8gb-belyi-3g-4g-6-78-1080x2400-and14-64m-2020942/
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 8/256Gb,  черный;43990₽;;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-pro-5g-8-256gb-chernyi-2004248/
Смартфон Xiaomi Redmi Note 13 8/512Gb,  полночный черный;23990₽;;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-512gb-8gb-chernyi-poln-3g-4g-6-67-1080x2-2062216/
Смартфон Xiaomi 14T Pro 12/256Gb,  2407FPN8EG,  титановый;74990₽;;https://www.citilink.ru/product/smartfon-xiaomi-14t-pro-2406apnfag-256gb-12gb-titanovyi-seryi-3g-4g-6-2062214/
Смартфон Apple iPhone 16 Pro 128Gb,  A3294,  белый титан;147790₽;;https://www.citilink.ru/product/smartfon-apple-iphone-16-pro-128gb-a3294-belyi-titan-2060200/
Смартфон REALME 13+ 12/256Gb,  RMX5000,  темно-фиолетовый;35990₽;5;https://www.citilink.ru/product/smartfon-realme-13-rmx5000-256gb-12gb-t-fioletovyi-3g-4g-6-67-1080x240-2061780/
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 8/256Gb,  белый;43990₽;;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-pro-5g-8-256gb-belyi-2004247/
Смартфон ITEL A70 4/256Gb,  A665L,  золотой;7990₽;5;https://www.citilink.ru/product/smartfon-itel-a70-4-256gb-a665l-zolotoi-1995491/
Смартфон OPPO A38 4/128Gb,  черный;10990₽;5;https://www.citilink.ru/product/smartfon-oppo-a38-4-128gb-chernyi-1978514/
Смартфон Xiaomi Poco X5 5G 6/128Gb,  зеленый;28990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-poco-x5-5g-6-128gb-zelenyi-1901559/
Смартфон Xiaomi Poco X5 Pro 5G 6/128Gb,  желтый;35990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x5-pro-5g-6-128gb-zheltyi-1901553/
